LineDescription,QuantityFinal,PriceFinal,weight,level,category,quadrant
Financial services furnished without payment (107),0.01599679913017793,-0.15772484491487382,0.022712546116225828,Level 4,Services,Supply+
"Flowers, seeds, and potted plants",-0.024432188416039224,-0.0314465895334477,0.003903308745082951,Level 4,Goods,Demand-
Food furnished to employees (including military) (103),-0.016266176178784342,-0.04591779133838614,0.0018065767666273996,Level 4,Services,Demand-
Food purchased for off-premises consumption,0.03810649155189194,-0.10621808863464088,0.05800500687421814,Level 4,Food and Energy,Supply+
Foreign travel by U.S. residents (129),-0.49080446431165514,-0.11904103369231833,0.012032533016820942,Level 4,Services,Demand-
Foundations and grantmaking and giving services to households,0.07922023050838012,0.0027866130783473775,3.384613883587523e-4,Level 4,Services,Demand+
Foundations and grantmaking and giving services to households,0.07922023050838012,0.0027866130783473775,3.384613883587523e-4,Level 4,Services,Demand+
Fuel oil,0.5236497259268279,-0.9045160286488662,0.0011973674777579486,Level 4,Food and Energy,Supply+
Funeral and burial services,-0.09574197044668997,-6.003266141980657e-4,0.001854935968598758,Level 4,Services,Demand-
Furniture,0.04171303938952853,-0.09912113596204253,0.008392707686864835,Level 4,Goods,Supply+
"Games, toys, and hobbies",0.020256158951130754,-0.03306696451014135,0.0067891653329000805,Level 4,Goods,Supply+
Gasoline and other motor fuel,0.02713010420555273,-0.2009468050554648,0.02170209331714007,Level 4,Food and Energy,Supply+
Ground transportation (63),-0.11498025591048755,-0.011644695750178569,0.0037339985127424376,Level 4,Services,Demand-
Group housing (23),0.004187563980935671,-0.010418674079387458,1.687269524921745e-4,Level 4,Services,Supply+
"Hair, dental, shaving, and miscellaneous personal care products except electrical products",0.01446147634443029,-0.03661416776389004,0.006037953913680521,Level 4,Goods,Supply+
Higher education (97),-0.006648979008538003,-0.006914580143554394,0.010790942321470764,Level 4,Services,Demand-
Hospitals (51),0.0011065006625721185,-3.3132495060250733e-4,0.07444156787320047,Level 4,Services,Supply+
Hotels and motels,-0.14999976514086688,-0.028115736691337823,0.008556238146162718,Level 4,Services,Demand-
Household cleaning products,0.021589107238649707,-0.0805553293779726,0.0021301380061331345,Level 4,Goods,Supply+
Household linens,0.19322575487978522,-0.17618597391729418,0.00329272079475379,Level 4,Goods,Supply+
Household paper products,0.03662175977212079,-0.10600838393285295,0.0032194926610668974,Level 4,Goods,Supply+
Housing at schools,0.027952449476331576,0.010015533541419597,0.0022161452710427218,Level 4,Services,Demand+
Imputed rental of owner-occupied nonfarm housing (21),0.004593049412451755,-0.004656503598804873,0.11822774978270174,Level 4,Services,Supply+
Information processing equipment,0.1309873252910363,-0.044898777062921336,0.017347325969442922,Level 4,Goods,Supply+
Internet access (72),-0.04402625019307704,0.022889803943972442,0.005859099102003555,Level 4,Services,Supply-
Jewelry,0.13701643634544336,-0.03449322672019828,0.004328095550995839,Level 4,Goods,Supply+
Labor organization dues,-0.011711481219326414,-0.004685322505981526,9.028111543468772e-4,Level 4,Services,Demand-
Legal services,-0.002343726643368571,0.06661955775334172,0.006774371234928579,Level 4,Services,Supply-
Less: Expenditures in the United States by nonresidents (130),-0.13297732118511085,-0.038155667752122424,0.010405977621567185,Level 4,Services,Demand-
Less: Personal remittances in kind to nonresidents,0.22677253654275797,-0.07098220630274499,5.9176391886004635e-5,Level 4,Goods,Supply+
Life insurance (110),0.013299210078276946,0.02252289055415746,0.005981906022799243,Level 4,Services,Demand+
Lotteries,0.12157236282831463,-0.04014155209518466,0.002034002882038756,Level 4,Services,Supply+
Lubricants and fluids,0.04081812163185061,-0.23061007450584947,6.780363109734241e-4,Level 4,Food and Energy,Supply+
Maintenance and repair of recreational vehicles and sports equipment,0.06786025078757096,-0.04531411717643019,4.1322725982762914e-4,Level 4,Services,Supply+
Major household appliances,0.11867409778089866,-0.09700306822650073,0.0039053767372725155,Level 4,Goods,Supply+
Membership clubs and participant sports centers,0.041767374438876015,-0.03003867883986633,0.0039434490037368085,Level 4,Services,Supply+
Men's and boys' clothing (11),-0.016274068979262646,0.013631057161206606,0.007474519154698118,Level 4,Goods,Supply-
Miscellaneous household products,0.0920045162856965,-0.09464437356051802,0.0010740303025546809,Level 4,Goods,Supply+
Motor vehicle maintenance and repair (60),0.04208233694459751,-0.03266101323547965,0.012502550523700463,Level 4,Services,Supply+
Motorcycles,-0.14189978560590288,0.12725125963279382,0.0011224955554075557,Level 4,Goods,Supply-
"Moving, storage, and freight services",0.01944270277328497,-0.06190516954178937,0.001095717707824731,Level 4,Services,Supply+
Museums and libraries,-0.09153028898056825,-0.029812498148171995,8.106529383093539e-4,Level 4,Services,Demand-
Net health insurance (112),0.030752528610031526,0.010213119591198305,0.012896158370447606,Level 4,Services,Demand+
Net household insurance (111),-0.012449753106523964,0.058145266703623966,8.442710677499693e-4,Level 4,Services,Supply-
Net motor vehicle and other transportation insurance (116),0.07192053912770269,0.053240067413104164,0.005748222905378434,Level 4,Services,Demand+
New autos,-0.20429787852198422,-0.06460328578741237,0.002686586981448307,Level 4,Goods,Demand-
New light trucks,-0.007782961745458783,-0.060915906361526995,0.017735154043147437,Level 4,Goods,Demand-
Newspapers and periodicals,0.06848831221250373,-0.0436360788546466,0.004471635419127931,Level 4,Goods,Supply+
Nonalcoholic beverages purchased for off-premises consumption,0.036426802603878095,-0.09824472780492255,0.007409828116973274,Level 4,Food and Energy,Supply+
Nonelectric cookware and tableware,0.013251721617057566,-0.0395226842925267,0.001479356771709358,Level 4,Goods,Supply+
Nonprofit hospitals services to households,-0.002515560136511663,-2.397878627102834e-4,0.049920005820072375,Level 4,Services,Demand-
"Nonprofit hospitals, gross output",0.032727159033649755,-0.016277939304931488,0.05150711028740213,Level 4,Services,Supply+
Nonprofit nursing homes services to households,0.06569680767098163,-0.007958552064727842,0.0036767310367237234,Level 4,Services,Supply+
"Nonprofit nursing homes, gross output",0.0615064829108416,-0.02525068739109848,0.0043105441301049185,Level 4,Services,Supply+
"Nursery, elementary, and secondary schools (98)",-0.08372152791930998,0.007112444816871344,0.0030812553370106123,Level 4,Services,Supply-
Nursing homes (52),-0.00917810814073472,-0.00797453380930846,0.012200252485938713,Level 4,Services,Demand-
Other fuels,-0.13407056885496005,-0.0896697031812389,2.7923197103198964e-4,Level 4,Food and Energy,Demand-
Other household services,0.008275297914781765,0.04312855310883257,0.0019563206113281857,Level 4,Services,Demand+
Other medical products,0.004495068582375472,-0.021176338566385677,4.414898197516797e-4,Level 4,Goods,Supply+
Other motor vehicle services (61),0.0957601529748181,-0.06348633397684145,0.005741965903368982,Level 4,Services,Supply+
Outdoor equipment and supplies,0.0056423286754051505,-0.04699314784575326,5.252169907086702e-4,Level 4,Goods,Supply+
Outpatient services to households,0.03412401450742042,-0.014437239140350444,0.006318564546172221,Level 4,Services,Supply+
"Outpatient services, gross output",0.006944716268612039,-0.009818024569377082,0.0069173278232123325,Level 4,Services,Supply+
Package tours,-0.3025273299807758,0.003148309122507298,0.0011038306002607156,Level 4,Services,Supply-
Paramedical services (46),0.061283927903734714,-0.013121172683769888,0.02767201559032799,Level 4,Services,Supply+
Pari-mutuel net receipts,0.019453599255557008,-0.040151989645882624,2.675663740652145e-4,Level 4,Services,Supply+
Personal care services,0.006575525598960574,-0.05471787652886628,0.009398441221723123,Level 4,Services,Supply+
Pets and related products,0.0955835684582077,-0.102813189537454,0.005957196167405983,Level 4,Goods,Supply+
Pharmaceutical products,0.006301072058113588,0.019550572215564443,0.03462508256061126,Level 4,Goods,Demand+
Photo processing,-0.17135648377737844,0.019417644333766804,8.913576591431344e-5,Level 4,Services,Supply-
Photo studios,0.48926289484769836,0.008783806511732717,4.840692486804089e-4,Level 4,Services,Demand+
Photographic equipment,-0.006931701258200862,0.07938060705887562,2.6751334862445644e-4,Level 4,Goods,Supply-
Physician services (44),0.039936004512019174,0.0022523581575737417,0.03833988586379928,Level 4,Services,Demand+
"Pleasure boats, aircraft, and other recreational vehicles",0.20337795507201606,-0.02938356107038731,0.004118645060001468,Level 4,Goods,Supply+
Postal and delivery services (68),0.025750486234405012,-0.05750084830452473,9.700474132281082e-4,Level 4,Services,Supply+
Professional association dues,-0.2115708126495338,0.0665956126034799,6.334949407366464e-4,Level 4,Services,Supply-
Purchased meals and beverages (102),0.01186035971134447,-0.02694318980528765,0.06302863713163756,Level 4,Services,Supply+
Religious organizations' services to households,0.04151157222149027,-0.04728356969852787,4.880991821780221e-4,Level 4,Services,Supply+
Religious organizations' services to households,0.04151157222149027,-0.04728356969852787,4.880991821780221e-4,Level 4,Services,Supply+
Rental of tenant-occupied nonfarm housing (20),0.022438915779514068,-0.010314599949465375,0.03492494142809814,Level 4,Services,Supply+
Rental value of farm dwellings (22),-0.001997080123737671,0.04019317381938392,0.001349815619937396,Level 4,Services,Supply-
"Repair and rental of audio-visual, photographic, and information processing equipment",0.16039033493148003,0.0031843145196208678,5.232550494006216e-4,Level 4,Services,Demand+
"Repair of furniture, furnishings, and floor coverings",-0.1261744722174286,0.163380070074987,8.775710445460365e-5,Level 4,Services,Supply-
Repair of household appliances,-0.08805685351088888,0.1633694850822518,5.557066191445596e-4,Level 4,Services,Supply-
Sewing items,-0.10341354494553145,0.10129059343414637,6.633482638834391e-5,Level 4,Goods,Supply-
Shoes and other footwear,0.004025417766106765,-0.016073933278509145,0.005989647737149921,Level 4,Goods,Supply+
Small electric household appliances,0.021695526401585452,-0.019278990125828788,5.918169443008044e-4,Level 4,Goods,Supply+
Social advocacy and civic and social organizations,-0.21367218607276173,0.019359443973419266,9.66812861341866e-4,Level 4,Services,Supply-
Social assistance,0.06357239298230577,-0.0195298016951706,0.010991961767384604,Level 4,Services,Supply+
Spirits,-0.0023176357454677277,-0.005616036922774459,0.002848791804727239,Level 4,Food and Energy,Demand-
Standard clothing issued to military personnel,0.19924064338825664,-0.04304206723757975,2.2535812322179185e-5,Level 4,Goods,Supply+
Stationery and miscellaneous printed materials,0.08660811612861208,-0.12011926830307407,0.001631645837566531,Level 4,Goods,Supply+
Telecommunication services (71),-0.018630625171218496,-0.0055856286294312385,0.009664628934328628,Level 4,Services,Demand-
Therapeutic medical equipment,0.00425517621465632,-0.021187080688526372,0.002428565186719545,Level 4,Goods,Supply+
Tires,0.07168371433301335,-0.12136955350315592,0.0027562093851636513,Level 4,Goods,Supply+
"Tools, hardware, and supplies",0.05855345758539099,-0.10374349714969267,0.002651059936140401,Level 4,Goods,Supply+
Used autos,0.1929518160147098,-0.010672190778479917,0.0030049517277597514,Level 4,Goods,Supply+
Used light trucks,0.16918941364669082,-0.0127214230484477,0.01018019529481933,Level 4,Goods,Supply+
Veterinary and other services for pets,0.051531307146605476,-0.04580021830952785,0.004183070970522521,Level 4,Services,Supply+
Video and audio equipment,0.07678243478519287,0.021576059967998606,0.004846737387050508,Level 4,Goods,Demand+
Video and audio streaming and rental,0.06039349056870891,-0.025873522841255214,0.0031424466956454233,Level 4,Services,Supply+
Watches,0.17466758796212123,-0.049375385617385525,8.928423714843602e-4,Level 4,Goods,Supply+
Water supply and sanitation (25),-0.01918002013849507,0.003300608172152719,0.006920774476861607,Level 4,Services,Supply-
Water transportation (65),0.028333921749886692,-0.018539613871173866,2.4243231514588996e-4,Level 4,Services,Supply+
Window coverings,-0.07617376668228604,0.048997917871477004,0.0016936856032534714,Level 4,Goods,Supply-
Wine,0.0025209196010755885,-0.024384720187859532,0.0037339985127424376,Level 4,Food and Energy,Supply+
Women's and girls' clothing (10),0.05930174884036932,-0.05468473280874431,0.012428102804876134,Level 4,Goods,Supply+
